GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ericssongroupproject Maven Webapp,com.ericsson.group.utilities,Validation,932,0,86,0,237,0,65,0,22,0
ericssongroupproject Maven Webapp,com.ericsson.group.utilities,EditExcel,284,0,26,0,55,0,18,0,5,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,EventCausePK,57,0,8,0,14,0,8,0,4,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,UE,59,0,0,0,26,0,17,0,17,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,FailureClass,26,0,0,0,12,0,6,0,6,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,BaseDataList,10,0,0,0,4,0,3,0,3,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,MccMnc,31,0,0,0,14,0,9,0,9,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,EventCause,24,0,0,0,10,0,7,0,7,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,User,45,0,0,0,19,0,10,0,10,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,BaseData,111,0,0,0,45,0,24,0,24,0
ericssongroupproject Maven Webapp,com.ericsson.group.entities,MccMncPK,57,0,8,0,14,0,8,0,4,0
ericssongroupproject Maven Webapp,com.ericsson.group.jaxrs,BaseCRUDService,132,0,0,0,32,0,16,0,16,0
ericssongroupproject Maven Webapp,com.ericsson.group.jaxrs,UploadRestService,220,0,12,0,48,0,10,0,4,0
ericssongroupproject Maven Webapp,com.ericsson.group.jaxrs,UserCRUDService,32,0,0,0,9,0,6,0,6,0
ericssongroupproject Maven Webapp,com.ericsson.group.dao,UploadDAO,147,0,0,0,29,0,6,0,6,0
ericssongroupproject Maven Webapp,com.ericsson.group.dao,UserDAOImpl,63,0,0,0,15,0,6,0,6,0
ericssongroupproject Maven Webapp,com.ericsson.group.dao,JPABaseDAO,268,0,0,0,60,0,17,0,17,0
ericssongroupproject Maven Webapp,com.ericsson.group.services,UserServiceImpl,38,0,2,0,10,0,7,0,6,0
ericssongroupproject Maven Webapp,com.ericsson.group.services,UploadServiceImpl,57,0,12,0,17,0,8,0,2,0
ericssongroupproject Maven Webapp,com.ericsson.group.services,BaseServiceJPA,114,0,2,0,22,0,18,0,17,0
